### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217; Rice et al. 2010, ApJS, 186, 63
### Please cite the above references if you use  
### or display this data in your publication.
### GL 577BC -- NIRSPEC-3 Filter, dispersion order 59
### lambda (microns)   Flambda (Normalized)
       1.2941340      0.95364235
       1.2941524      0.96336831
       1.2941708      0.96141743
       1.2941893      0.95630472
       1.2942078      0.95722154
       1.2942262      0.95356860
       1.2942447      0.95869426
       1.2942632      0.96927129
       1.2942817      0.96958594
       1.2943002      0.99238685
       1.2943186      0.97619598
       1.2943371      0.96973595
       1.2943557      0.97910091
       1.2943742      0.98168000
       1.2943927      0.97679160
       1.2944111      0.97773959
       1.2944296      0.97629483
       1.2944481      0.97635550
       1.2944666      0.97112169
       1.2944850      0.97179791
       1.2945035      0.97553369
       1.2945220      0.97488352
       1.2945405      0.96802488
       1.2945590      0.97021869
       1.2945774      0.97308265
       1.2945959      0.96911005
       1.2946144      0.96771477
       1.2946329      0.97970271
       1.2946513      0.97163065
       1.2946698      0.97147805
       1.2946883      0.97679780
       1.2947068      0.97907159
       1.2947253      0.97605260
       1.2947437      0.96357399
       1.2947622      0.96146139
       1.2947807      0.95228763
       1.2947992      0.95121575
       1.2948176      0.95955767
       1.2948361      0.96312625
       1.2948546      0.96425905
       1.2948731      0.97262492
       1.2948916      0.97305078
       1.2949100      0.96991242
       1.2949285      0.96198178
       1.2949470      0.96834475
       1.2949655      0.97336392
       1.2949839      0.97966441
       1.2950024      0.98710317
       1.2950209      0.98469194
       1.2950394      0.98509552
       1.2950578      0.98938987
       1.2950763      0.98972331
       1.2950948      0.99169354
       1.2951133      0.98232061
       1.2951318      0.98837168
       1.2951502      0.98710147
       1.2951687      0.99317226
       1.2951872      0.99408502
       1.2952058       1.0028397
       1.2952243       1.0021335
       1.2952427      0.99765226
       1.2952612      0.99856281
       1.2952797      0.99777894
       1.2952982      0.98588760
       1.2953167      0.98672418
       1.2953351      0.97769300
       1.2953536      0.98197765
       1.2953721      0.97520864
       1.2953906      0.97704362
       1.2954090      0.96671305
       1.2954275      0.96263372
       1.2954460      0.94215841
       1.2954645      0.91756543
       1.2954829      0.92269118
       1.2955014      0.93411098
       1.2955199      0.95144911
       1.2955384      0.96454022
       1.2955569      0.97053068
       1.2955753      0.96911103
       1.2955938      0.97103881
       1.2956123      0.96731456
       1.2956308      0.95651429
       1.2956492      0.93185746
       1.2956677      0.91986285
       1.2956862      0.91694255
       1.2957047      0.93128454
       1.2957232      0.95280231
       1.2957416      0.95799334
       1.2957601      0.96560920
       1.2957786      0.96233746
       1.2957971      0.95631541
       1.2958155      0.95147865
       1.2958340      0.94982970
       1.2958525      0.93984726
       1.2958710      0.94050558
       1.2958895      0.94753749
       1.2959079      0.96091373
       1.2959264      0.96052482
       1.2959449      0.95376384
       1.2959634      0.95333413
       1.2959818      0.95673379
       1.2960003      0.95201115
       1.2960188      0.94967922
       1.2960373      0.95702634
       1.2960557      0.95230694
       1.2960743      0.95484982
       1.2960928      0.95795185
       1.2961113      0.96195999
       1.2961298      0.95265372
       1.2961483      0.95599607
       1.2961667      0.95433192
       1.2961852      0.95004127
       1.2962037      0.95782134
       1.2962222      0.96307096
       1.2962406      0.95897804
       1.2962591      0.96596172
       1.2962776      0.95952935
       1.2962961      0.95783586
       1.2963146      0.96710107
       1.2963330      0.95896304
       1.2963515      0.96782461
       1.2963700      0.96227632
       1.2963885      0.95641932
       1.2964069      0.95782030
       1.2964254      0.96911912
       1.2964439      0.97869893
       1.2964624      0.98227332
       1.2964808      0.93915769
       1.2964993      0.93685165
       1.2965178      0.97571393
       1.2965363      0.97893708
       1.2965548      0.97324100
       1.2965732      0.96421327
       1.2965917      0.95491429
       1.2966102      0.95510017
       1.2966287      0.95230320
       1.2966471      0.96777509
       1.2966656      0.98488177
       1.2966841      0.98323115
       1.2967026      0.97181770
       1.2967211      0.97049991
       1.2967395      0.96947330
       1.2967580      0.97220390
       1.2967765      0.96398326
       1.2967950      0.96465001
       1.2968134      0.96622666
       1.2968319      0.97232435
       1.2968504      0.95911386
       1.2968689      0.96173856
       1.2968874      0.95623162
       1.2969058      0.94074478
       1.2969243      0.93547141
