### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     Wolf 359 -- NIRSPEC-3 Filter, dispersion order 58
### lambda (microns)   Flambda (Normalized)
       1.3136981      0.95730396
       1.3137171      0.96610925
       1.3137359      0.95998201
       1.3137547      0.93714154
       1.3137737      0.90300235
       1.3137925      0.87530636
       1.3138113      0.85657876
       1.3138302      0.87246427
       1.3138491      0.90296824
       1.3138680      0.91836908
       1.3138868      0.91494838
       1.3139058      0.89823890
       1.3139246      0.87992820
       1.3139434      0.88080826
       1.3139624      0.88184770
       1.3139812      0.88924105
       1.3140001      0.90431894
       1.3140189      0.93024313
       1.3140378      0.94665723
       1.3140567      0.95808915
       1.3140755      0.96061296
       1.3140945      0.96574470
       1.3141133      0.96466040
       1.3141321      0.96791798
       1.3141510      0.95230308
       1.3141699      0.93266271
       1.3141888      0.93137931
       1.3142076      0.93338994
       1.3142266      0.94342769
       1.3142454      0.93935221
       1.3142642      0.93849692
       1.3142832      0.92672475
       1.3143020      0.92109152
       1.3143207      0.91411319
       1.3143396      0.91460533
       1.3143585      0.91116080
       1.3143774      0.91776850
       1.3143962      0.93316374
       1.3144152      0.94101138
       1.3144340      0.94232937
       1.3144528      0.94468492
       1.3144717      0.94711993
       1.3144906      0.93684242
       1.3145095      0.93443031
       1.3145283      0.92139297
       1.3145472      0.91663840
       1.3145661      0.90940114
       1.3145849      0.88507163
       1.3146037      0.87057095
       1.3146227      0.87542694
       1.3146415      0.90195077
       1.3146604      0.92508241
       1.3146793      0.93584224
       1.3146982      0.93215281
       1.3147170      0.93457941
       1.3147360      0.93173965
       1.3147548      0.93804357
       1.3147736      0.94722743
       1.3147925      0.94373148
       1.3148114      0.93388672
       1.3148302      0.92229399
       1.3148491      0.91070125
       1.3148680      0.89910852
       1.3148869      0.88751579
       1.3149057      0.89609039
       1.3149245      0.90967409
       1.3149435      0.90412405
       1.3149623      0.89366099
       1.3149812      0.89095023
       1.3150001      0.89806504
       1.3150190      0.91331445
       1.3150378      0.91647996
       1.3150567      0.93534917
       1.3150756      0.95048033
       1.3150944      0.95779938
       1.3151132      0.96614197
       1.3151322      0.94769012
       1.3151510      0.92549510
       1.3151699      0.91389492
       1.3151888      0.90758494
       1.3152077      0.91969595
       1.3152265      0.92553576
       1.3152453      0.92886064
       1.3152643      0.92362421
       1.3152831      0.89849268
       1.3153020      0.88793522
       1.3153209      0.88651347
       1.3153397      0.87663837
       1.3153586      0.86915715
       1.3153775      0.86103329
       1.3153964      0.84985422
       1.3154152      0.82336404
       1.3154340      0.78975813
       1.3154530      0.73886413
       1.3154718      0.68392502
       1.3154907      0.64238874
       1.3155096      0.62440613
       1.3155285      0.64050289
       1.3155473      0.67399056
       1.3155661      0.70965525
       1.3155851      0.75191736
       1.3156039      0.78260500
       1.3156228      0.81030801
       1.3156417      0.83122010
       1.3156604      0.84772908
       1.3156793      0.87649208
       1.3156982      0.89834967
       1.3157171      0.91010874
       1.3157359      0.91297420
       1.3157547      0.90652353
       1.3157737      0.89672368
       1.3157925      0.91218668
       1.3158114      0.92200710
       1.3158303      0.92991270
       1.3158491      0.92430517
       1.3158680      0.90059819
       1.3158868      0.86787982
       1.3159058      0.85805239
       1.3159246      0.86684646
       1.3159434      0.87755675
       1.3159624      0.88759824
       1.3159812      0.90036077
       1.3160001      0.91708287
       1.3160189      0.92722905
       1.3160379      0.91654913
       1.3160567      0.89923206
       1.3160755      0.89466818
       1.3160945      0.90316453
       1.3161133      0.90424556
       1.3161322      0.88385506
       1.3161511      0.87132575
       1.3161699      0.87358877
       1.3161888      0.89593522
       1.3162076      0.92435190
       1.3162266      0.93984762
       1.3162454      0.94456808
       1.3162642      0.94016076
       1.3162832      0.93224208
       1.3163020      0.92792403
       1.3163209      0.92994962
       1.3163397      0.92665932
       1.3163586      0.93419850
       1.3163775      0.94601693
       1.3163963      0.95075608
       1.3164153      0.95139638
       1.3164341      0.94941005
       1.3164529      0.94151147
       1.3164719      0.94196949
       1.3164907      0.93886147
       1.3165096      0.93772108
       1.3165284      0.93489675
       1.3165474      0.94988210
       1.3165662      0.96361816
       1.3165850      0.97910687
       1.3166040      0.98132221
       1.3166228      0.97421816
       1.3166417      0.95770590
       1.3166605      0.95041490
       1.3166794      0.96144021
       1.3166983      0.96873588
       1.3167171      0.98306551
       1.3167361      0.97790105
       1.3167549      0.97310114
       1.3167737      0.97288615
       1.3167926      0.98754760
       1.3168115      0.99417494
       1.3168304      0.99811664
       1.3168492       1.0053720
       1.3168681       1.0126274
       1.3168870      0.98083614
       1.3169058      0.98624364
       1.3169248       1.0008350
       1.3169436       1.0050741
       1.3169624       1.0045085
       1.3169812      0.98680448
       1.3170001      0.98387406
       1.3170190      0.98268694
       1.3170378      0.97663447
       1.3170568      0.97039505
       1.3170756      0.95398095
       1.3170944      0.94181993
       1.3171133      0.92394623
       1.3171322      0.91351869
       1.3171511      0.89091565
       1.3171699      0.89572023
       1.3171888      0.90088142
       1.3172077      0.90131467
       1.3172265      0.90646698
       1.3172455      0.91026952
       1.3172643      0.94543739
       1.3172831      0.92651630
       1.3173020      0.91046068
       1.3173209      0.91733525
       1.3173398      0.92626906
       1.3173586      0.93999718
       1.3173775      0.93146531
       1.3173964      0.91172445
       1.3174152      0.89153678
       1.3174341      0.87684074
       1.3174530      0.87196184
       1.3174718      0.87891307
       1.3174907      0.88825396
       1.3175096      0.89846604
       1.3175285      0.90784900
       1.3175473      0.91410618
       1.3175663      0.93412746
       1.3175851      0.94940070
       1.3176039      0.96087936
       1.3176228      0.95046631
       1.3176417      0.93229489
       1.3176606      0.90584397
       1.3176794      0.89692558
       1.3176983      0.91372200
       1.3177172      0.93676297
       1.3177360      0.94596552
       1.3177548      0.93420878
       1.3177738      0.93330582
       1.3177926      0.94217046
       1.3178115      0.96235626
       1.3178304      0.96738050
       1.3178493      0.96717019
       1.3178681      0.96879664
       1.3178869      0.95886966
       1.3179059      0.93578149
       1.3179247      0.91636872
       1.3179436      0.89582960
       1.3179625      0.88898306
       1.3179813      0.89677509
       1.3180002      0.90804109
       1.3180191      0.92105413
       1.3180380      0.92204823
       1.3180568      0.91344531
       1.3180756      0.91132157
       1.3180946      0.91521572
       1.3181134      0.91702959
       1.3181323      0.88691167
       1.3181512      0.87792972
       1.3181701      0.90106510
       1.3181889      0.89711756
       1.3182077      0.90473771
       1.3182267      0.91235785
       1.3182455      0.90105715
       1.3182643      0.92868584
       1.3182833      0.95363042
       1.3183020      0.97463412
       1.3183209      0.98242521
       1.3183398      0.98087821
       1.3183587      0.96418835
       1.3183775      0.94201155
       1.3183963      0.92386303
       1.3184153      0.91487968
       1.3184341      0.91831486
       1.3184530      0.91853873
       1.3184719      0.92677757
       1.3184907      0.95002231
       1.3185096      0.95979973
       1.3185284      0.96547830
       1.3185474      0.96157574
       1.3185662      0.96140282
       1.3185850      0.96135608
       1.3186040      0.95221428
       1.3186228      0.94353986
       1.3186417      0.94564303
       1.3186606      0.94940684
       1.3186795      0.95422223
       1.3186983      0.95903762
       1.3187171      0.96385301
       1.3187361      0.96866841
       1.3187549      0.97348380
       1.3187737      0.97829919
       1.3187927      0.99219328
       1.3188115      0.99945624
       1.3188304      0.99505827
       1.3188492      0.98941242
       1.3188682      0.98663623
       1.3188870      0.96818438
       1.3189058      0.94065618
       1.3189248      0.92685562
       1.3189436      0.94711993
       1.3189625      0.97475563
       1.3189813      0.99057150
       1.3190002       1.0004237
       1.3190191       1.0007275
       1.3190379      0.98521542
       1.3190569      0.98025193
       1.3190757      0.97670457
       1.3190945      0.97714858
       1.3191135      0.97999020
       1.3191323      0.96538015
       1.3191512      0.95993527
       1.3191700      0.94670397
       1.3191890      0.94057672
       1.3192078      0.94835847
       1.3192266      0.97295625
       1.3192456      0.96811895
       1.3192644      0.96862371
       1.3192832      0.98285052
       1.3193021      0.98390678
       1.3193210      0.97549875
       1.3193399      0.98389743
       1.3193587      0.99286162
       1.3193777      0.98059311
       1.3193965      0.95213483
       1.3194153      0.96355740
       1.3194343      0.97875166
       1.3194531      0.98050431
       1.3194720      0.97460607
       1.3194908      0.96530779
       1.3195097      0.95306038
       1.3195286      0.94081298
       1.3195474      0.92856557
       1.3195664      0.91631817
       1.3195852      0.92139952
       1.3196040      0.94734894
       1.3196229      0.94752187
       1.3196417      0.93482291
       1.3196606      0.92814229
       1.3196794      0.93808096
       1.3196984      0.93502014
       1.3197172      0.92745853
       1.3197360      0.91405991
       1.3197549      0.91708287
       1.3197738      0.93344229
       1.3197926      0.93924939
       1.3198115      0.94524109
       1.3198304      0.95696746
       1.3198493      0.97203086
       1.3198681      0.97279735
       1.3198871      0.97490519
       1.3199059      0.96959585
       1.3199247      0.96289730
       1.3199436      0.95354407
       1.3199625      0.94419085
       1.3199814      0.93483763
       1.3200002      0.92548441
       1.3200191      0.91613118
       1.3200380      0.90677796
       1.3200568      0.88565397
       1.3200757      0.90524854
       1.3200946      0.92221882
       1.3201134      0.93172236
       1.3201323      0.92546285
       1.3201512      0.91182119
       1.3201701      0.91258488
       1.3201889      0.92720381
       1.3202079      0.92117424
       1.3202267      0.91068314
       1.3202455      0.90117680
       1.3202644      0.91598969
       1.3202833      0.90734471
       1.3203021      0.86214049
       1.3203210      0.87410428
       1.3203399      0.91077755
       1.3203588      0.94566173
       1.3203776      0.96181410
       1.3203964      0.94924180
       1.3204154      0.91856864
       1.3204342      0.87897196
       1.3204531      0.84163268
       1.3204720      0.81998354
       1.3204909      0.83369717
       1.3205097      0.85931569
       1.3205286      0.88608536
       1.3205475      0.89726396
       1.3205663      0.89926525
       1.3205852      0.90972363
       1.3206041      0.92098215
       1.3206229      0.93737522
       1.3206418      0.94633007
       1.3206607      0.95399497
       1.3206796      0.95883694
       1.3206984      0.97377415
       1.3207172      0.97118024
       1.3207362      0.96263200
       1.3207550      0.94455873
       1.3207739      0.92335874
       1.3207928      0.92290539
       1.3208116      0.92171546
       1.3208305      0.93029641
       1.3208494      0.93736120
       1.3208683      0.95016252
       1.3208871      0.95463994
       1.3209059      0.95199462
       1.3209249      0.95234515
       1.3209437      0.90874776
       1.3209625      0.86448576
       1.3209814      0.84204116
       1.3210003      0.85994337
       1.3210191      0.89360070
       1.3210379      0.92805256
       1.3210569      0.95210211
       1.3210757      0.94559162
       1.3210946      0.93035623
       1.3211135      0.91690994
       1.3211323      0.91477592
       1.3211512      0.90786583
       1.3211700      0.89873618
       1.3211890      0.87749319
       1.3212078      0.86860892
       1.3212266      0.87536104
       1.3212456      0.88157054
       1.3212644      0.89115611
       1.3212833      0.90074168
       1.3213022      0.91032724
       1.3213211      0.91991281
       1.3213399      0.87560407
       1.3213587      0.86138615
       1.3213777      0.87352380
       1.3213965      0.87951317
       1.3214153      0.89702887
       1.3214343      0.92720661
       1.3214531      0.94915767
       1.3214720      0.96898826
       1.3214908      0.96481463
       1.3215098      0.96394065
       1.3215286      0.95501384
       1.3215474      0.94801728
       1.3215664      0.94573651
       1.3215852      0.94963439
       1.3216041      0.95066728
       1.3216230      0.95345749
       1.3216418      0.96917989
       1.3216607      0.96905370
       1.3216795      0.96229409
       1.3216985      0.95547140
       1.3217173      0.94864870
       1.3217361      0.96550634
       1.3217551      0.97600819
       1.3217739      0.97740563
       1.3217928      0.96331904
       1.3218116      0.94546076
       1.3218306      0.94457743
       1.3218494      0.95458853
       1.3218682      0.96176269
       1.3218872      0.96587557
       1.3219060      0.96180008
       1.3219248      0.94964841
       1.3219437      0.95122346
       1.3219626      0.96035123
       1.3219815      0.95825927
       1.3220003      0.96073120
